student_id,internship_id,skills,req_skills_job,gpa,stipend_internship,reservation,gender,rural,match,accept
S05575,I048,java networking sql,java ml,7.06,5000.0,GEN,M,1,1,1
S03127,I062,design python surveying writing,analysis communication excel,6.84,5000.0,GEN,M,1,0,0
S02060,I052,cloud sql,cloud frontend ml,4.91,5000.0,GEN,M,0,0,0
S00095,I054,networking pcb_design presentation python,backend frontend networking sql,7.29,5000.0,SC,F,1,0,0
S04399,I040,communication design excel presentation,design social_media writing,8.15,5000.0,GEN,M,0,0,0
S02787,I042,backend frontend java networking writing,communication excel presentation,6.54,5000.0,OBC,M,1,1,0
S03717,I008,autocad networking pcb_design presentation social_media,design manufacturing networking python,6.12,5000.0,GEN,M,1,1,0
S05896,I003,cloud networking,ml networking python sql,7.55,5000.0,GEN,F,0,1,0
S01464,I041,analysis backend excel manufacturing,communication design excel seo,6.8,5000.0,GEN,M,0,0,0
S05123,I063,analysis manufacturing python,analysis ml presentation python,6.03,5000.0,OBC,M,1,1,0
S04989,I054,analysis backend seo,backend frontend networking sql,5.98,5000.0,GEN,M,0,1,0
S01324,I017,analysis cloud pcb_design python social_media,analysis presentation,7.85,5000.0,OBC,M,1,0,0
S04345,I011,analysis frontend ml sql writing,analysis communication,5.44,5000.0,GEN,M,0,0,0
S04003,I064,excel sql,analysis ml python sql,6.54,5000.0,ST,F,0,1,0
S02520,I061,frontend ml networking sql,communication ml writing,7.51,5000.0,GEN,F,0,1,1
S04648,I056,java ml python social_media,ml networking python,7.45,5000.0,GEN,M,0,0,0
S03982,I062,autocad cad_modelling seo,analysis communication excel,7.69,5000.0,GEN,M,0,0,0
S04364,I027,analysis excel pcb_design presentation,analysis autocad construction_management,4.89,5000.0,OBC,M,0,0,0
S03894,I036,communication financial_modeling sql writing,frontend python,7.29,5000.0,GEN,F,1,0,0
S04323,I057,analysis excel sql,backend cloud ml sql,7.43,5000.0,GEN,F,0,0,0
S01736,I016,design manufacturing presentation seo,manufacturing python,8.63,5000.0,GEN,M,0,0,0
S05652,I010,cloud java networking sql,presentation sql,6.94,5000.0,GEN,F,0,1,1
S05503,I027,networking social_media sql,analysis autocad construction_management,8.25,5000.0,GEN,F,0,0,0
S04240,I042,cad_modelling excel ml presentation sql,communication excel presentation,6.88,5000.0,GEN,M,1,1,1
S00525,I068,analysis cloud ml networking python,analysis communication,7.19,5000.0,GEN,M,0,1,0
S01886,I067,presentation python,communication ml sql writing,8.59,5000.0,GEN,M,0,0,0
S05799,I023,networking social_media surveying writing,frontend java ml sql,7.56,5000.0,GEN,M,0,0,0
S00258,I021,communication excel seo,autocad cad_modelling design manufacturing,5.62,5000.0,OBC,M,0,0,0
S01950,I041,communication networking presentation writing,communication design excel seo,8.9,5000.0,GEN,F,0,1,0
S04418,I004,analysis communication writing,autocad construction_management design surveying,7.3,5000.0,ST,F,0,1,0
S04678,I018,communication excel ml,backend java python,7.1,5000.0,SC,F,0,0,0
S03875,I011,analysis financial_modeling frontend seo sql,analysis communication,7.41,5000.0,SC,F,0,0,0
S00795,I018,analysis manufacturing presentation sql,backend java python,8.3,5000.0,GEN,M,1,0,0
S03368,I050,presentation sql,frontend ml networking,6.41,5000.0,GEN,M,0,0,0
S05517,I052,backend cloud java,cloud frontend ml,7.66,5000.0,ST,F,1,0,0
S00497,I030,autocad cad_modelling construction_management excel seo,cloud java python sql,6.45,5000.0,ST,M,1,0,0
S00896,I043,manufacturing networking,communication presentation seo writing,7.88,5000.0,GEN,M,0,1,1
S03676,I007,analysis design networking,design manufacturing networking pcb_design,6.69,5000.0,GEN,F,0,1,1
S03790,I014,analysis financial_modeling java networking,backend frontend python,6.71,5000.0,GEN,F,0,0,0
S03631,I003,manufacturing python seo sql,ml networking python sql,7.14,5000.0,GEN,M,0,0,0
S00803,I002,analysis networking pcb_design,analysis autocad,5.95,5000.0,GEN,M,1,1,0
S00121,I042,cad_modelling communication construction_management ml presentation,communication excel presentation,6.12,5000.0,GEN,M,0,0,0
S01937,I013,cad_modelling excel,analysis construction_management design surveying,5.71,5000.0,ST,M,1,1,0
S01752,I051,java pcb_design social_media surveying,ml networking python,8.07,5000.0,GEN,M,1,0,0
S01349,I010,communication construction_management excel manufacturing social_media,presentation sql,8.12,5000.0,GEN,M,1,0,0
S02173,I028,java manufacturing networking,analysis cad_modelling design,6.28,5000.0,GEN,O,1,0,0
S02337,I049,communication construction_management design social_media,design presentation seo writing,7.09,5000.0,GEN,M,0,0,0
S04553,I057,analysis frontend java sql,backend cloud ml sql,6.45,5000.0,OBC,M,0,0,0
S01556,I018,cloud construction_management pcb_design,backend java python,8.57,5000.0,OBC,M,1,1,0
S04745,I007,autocad design ml sql writing,design manufacturing networking pcb_design,6.5,5000.0,SC,M,0,0,0
S02570,I029,communication pcb_design,communication design,7.36,5000.0,GEN,M,1,1,0
S04120,I052,communication ml,cloud frontend ml,7.46,5000.0,GEN,M,0,0,0
S00466,I006,communication presentation python social_media sql,analysis cad_modelling design manufacturing,6.69,5000.0,GEN,M,0,0,0
S01523,I011,backend frontend sql,analysis communication,7.33,5000.0,OBC,M,1,1,1
S01927,I001,analysis frontend ml python sql,autocad cad_modelling design manufacturing,5.71,5000.0,OBC,M,0,0,0
S04667,I008,autocad backend presentation surveying writing,design manufacturing networking python,4.81,5000.0,GEN,F,0,0,0
S05074,I051,communication sql writing,ml networking python,6.48,5000.0,GEN,M,1,1,0
S04631,I049,financial_modeling presentation,design presentation seo writing,6.44,5000.0,GEN,F,0,0,0
S01674,I017,analysis autocad backend manufacturing seo,analysis presentation,5.89,5000.0,GEN,M,1,0,0
S02176,I027,excel sql,analysis autocad construction_management,6.78,5000.0,OBC,M,1,0,0
S02458,I058,construction_management design manufacturing ml,cloud sql,7.03,5000.0,GEN,M,1,0,0
S00595,I049,design java presentation python,design presentation seo writing,7.52,5000.0,GEN,M,0,1,0
S04613,I030,autocad sql,cloud java python sql,7.93,5000.0,OBC,M,0,0,0
S01747,I019,financial_modeling manufacturing ml pcb_design presentation,analysis autocad construction_management surveying,8.04,5000.0,GEN,M,0,0,0
S02860,I048,analysis construction_management design manufacturing networking,java ml,5.66,5000.0,SC,F,0,0,0
S03028,I056,backend java sql,ml networking python,6.1,5000.0,SC,F,1,0,0
S04451,I040,communication excel sql,design social_media writing,7.87,5000.0,OBC,M,1,0,0
S05358,I014,cloud frontend ml pcb_design,backend frontend python,6.24,5000.0,GEN,F,0,0,0
S04544,I003,analysis sql,ml networking python sql,7.59,5000.0,GEN,F,0,1,0
S01101,I049,backend presentation python,design presentation seo writing,7.25,5000.0,GEN,M,0,1,0
S04533,I067,excel manufacturing presentation,communication ml sql writing,4.74,5000.0,GEN,M,1,1,1
S01726,I067,backend cad_modelling communication java python,communication ml sql writing,6.14,5000.0,ST,M,1,0,0
S05196,I032,cad_modelling social_media,autocad construction_management design surveying,7.13,5000.0,GEN,M,0,0,0
S02058,I058,backend presentation social_media sql,cloud sql,6.17,5000.0,GEN,F,0,0,0
S00757,I044,analysis presentation seo social_media,financial_modeling presentation sql,7.06,5000.0,GEN,M,0,0,0
S00362,I065,backend cloud financial_modeling ml,communication presentation sql writing,7.47,5000.0,GEN,F,0,1,0
S05220,I007,manufacturing networking,design manufacturing networking pcb_design,4.35,5000.0,GEN,F,0,0,0
S03620,I047,construction_management excel presentation,cad_modelling design manufacturing,6.32,5000.0,GEN,M,1,0,0
S00080,I053,autocad cad_modelling,backend cloud sql,7.07,5000.0,ST,M,1,1,0
S05661,I051,autocad cad_modelling manufacturing,ml networking python,7.95,5000.0,SC,F,0,0,0
S03025,I023,autocad cloud construction_management financial_modeling manufacturing,frontend java ml sql,7.17,5000.0,GEN,M,0,0,0
S01045,I056,design java ml,ml networking python,6.9,5000.0,GEN,M,0,1,0
S00327,I063,cloud networking sql,analysis ml presentation python,7.34,5000.0,ST,M,1,0,0
S02045,I042,cloud networking python,communication excel presentation,5.46,5000.0,OBC,M,1,0,0
S04587,I049,ml presentation,design presentation seo writing,6.93,5000.0,OBC,F,1,0,0
S05085,I051,autocad communication financial_modeling presentation writing,ml networking python,7.26,5000.0,SC,F,0,0,0
S01940,I028,cad_modelling communication networking pcb_design social_media,analysis cad_modelling design,8.59,5000.0,GEN,F,0,0,0
S01451,I030,communication presentation social_media,cloud java python sql,6.1,5000.0,GEN,M,0,0,0
S02722,I003,backend cad_modelling design excel,ml networking python sql,6.99,5000.0,GEN,F,0,0,0
S05488,I038,frontend python,analysis sql,8.14,5000.0,GEN,M,0,0,0
S02186,I046,cloud networking sql,backend cloud frontend,6.8,5000.0,GEN,F,0,1,0
S03134,I003,analysis excel financial_modeling networking,ml networking python sql,5.33,5000.0,GEN,M,0,0,0
S01823,I042,analysis frontend networking,communication excel presentation,8.01,5000.0,OBC,F,0,1,0
S02865,I054,analysis cloud design,backend frontend networking sql,7.61,5000.0,OBC,F,0,0,0
S01865,I006,analysis autocad communication construction_management ml,analysis cad_modelling design manufacturing,8.76,5000.0,OBC,F,0,1,0
S03265,I004,excel java presentation,autocad construction_management design surveying,7.46,5000.0,GEN,F,0,0,0
S02287,I048,design pcb_design,java ml,6.01,5000.0,OBC,F,0,0,0
S05567,I052,analysis financial_modeling manufacturing ml presentation,cloud frontend ml,8.48,5000.0,GEN,F,1,0,0
S00227,I027,autocad communication seo social_media,analysis autocad construction_management,7.34,5000.0,GEN,F,1,1,0
S01463,I056,autocad cad_modelling communication java presentation,ml networking python,5.68,5000.0,GEN,F,0,0,0
S00314,I006,design seo,analysis cad_modelling design manufacturing,5.34,5000.0,GEN,M,0,1,0
S05969,I003,autocad cad_modelling design,ml networking python sql,5.91,5000.0,GEN,M,0,0,0
S04190,I012,analysis communication seo sql surveying,excel seo writing,7.42,5000.0,SC,M,1,1,0
S01558,I011,analysis design,analysis communication,6.55,5000.0,SC,M,0,1,0
S00014,I052,cad_modelling design manufacturing,cloud frontend ml,6.77,5000.0,GEN,M,0,0,0
S05627,I049,backend cad_modelling manufacturing pcb_design,design presentation seo writing,6.31,5000.0,ST,M,1,0,0
S05494,I047,backend networking python social_media,cad_modelling design manufacturing,6.25,5000.0,SC,F,1,1,0
S05442,I035,cloud excel networking,financial_modeling presentation,7.51,5000.0,GEN,F,0,0,0
S05435,I054,communication java ml networking,backend frontend networking sql,7.48,5000.0,SC,M,1,0,0
S02461,I002,analysis autocad design pcb_design,analysis autocad,7.99,5000.0,GEN,F,1,1,0
S02673,I008,autocad surveying,design manufacturing networking python,7.29,5000.0,GEN,F,1,0,0
S01043,I040,ml sql,design social_media writing,7.17,5000.0,GEN,F,0,1,0
S03106,I036,autocad surveying,frontend python,5.72,5000.0,ST,M,0,0,0
S05043,I033,backend design financial_modeling java social_media,analysis design python,8.63,5000.0,ST,M,0,0,0
S00004,I004,analysis frontend java,autocad construction_management design surveying,6.77,5000.0,OBC,F,0,0,0
S04752,I030,analysis cad_modelling excel ml seo,cloud java python sql,6.43,5000.0,OBC,M,0,0,0
S03620,I058,construction_management excel presentation,cloud sql,6.32,5000.0,GEN,M,1,0,0
S03877,I049,analysis excel sql,design presentation seo writing,5.65,5000.0,GEN,F,1,0,0
S01391,I045,analysis design manufacturing,analysis communication excel,6.42,5000.0,ST,M,0,0,0
S05439,I065,analysis communication python seo social_media,communication presentation sql writing,6.61,5000.0,OBC,F,1,0,0
S01925,I049,cloud pcb_design sql,design presentation seo writing,6.45,5000.0,OBC,M,0,0,0
S01632,I038,backend frontend ml,analysis sql,4.87,5000.0,GEN,F,0,1,1
S03893,I032,cad_modelling communication networking surveying,autocad construction_management design surveying,6.63,5000.0,SC,F,1,0,0
S03731,I067,analysis cad_modelling,communication ml sql writing,7.77,5000.0,GEN,M,0,0,0
S01593,I027,communication financial_modeling,analysis autocad construction_management,7.39,5000.0,GEN,M,0,0,0
S03274,I058,design pcb_design presentation sql,cloud sql,6.35,5000.0,OBC,F,0,1,0
S00046,I051,analysis autocad construction_management design manufacturing,ml networking python,8.56,5000.0,ST,M,0,0,0
S00874,I048,ml pcb_design,java ml,6.04,5000.0,SC,M,1,0,0
S05701,I056,cloud excel pcb_design python,ml networking python,8.05,5000.0,OBC,F,0,0,0
S02042,I020,analysis construction_management excel manufacturing pcb_design,excel financial_modeling presentation,7.35,5000.0,SC,F,1,0,0
S01093,I056,construction_management frontend java seo,ml networking python,5.02,5000.0,OBC,M,0,0,0
S04579,I069,analysis communication design financial_modeling ml,analysis excel ml presentation,8.43,5000.0,GEN,F,0,0,0
S03626,I055,analysis pcb_design,backend cloud ml python,7.51,5000.0,OBC,M,1,0,0
S04136,I028,analysis sql writing,analysis cad_modelling design,7.98,5000.0,SC,M,1,1,0
S03653,I054,analysis construction_management networking presentation social_media,backend frontend networking sql,5.17,5000.0,GEN,F,1,0,0
S03889,I008,communication frontend python social_media,design manufacturing networking python,6.28,5000.0,OBC,F,1,0,0
S05224,I057,analysis java ml sql writing,backend cloud ml sql,8.09,5000.0,OBC,F,0,1,0
S03970,I027,frontend presentation writing,analysis autocad construction_management,6.07,5000.0,OBC,M,1,0,0
S00635,I001,financial_modeling presentation,autocad cad_modelling design manufacturing,6.93,5000.0,SC,M,0,0,0
S02752,I063,frontend ml sql,analysis ml presentation python,8.36,5000.0,SC,M,1,1,0
S01134,I066,construction_management surveying,communication sql writing,8.07,5000.0,OBC,F,0,1,0
S01252,I066,autocad excel manufacturing,communication sql writing,7.47,5000.0,GEN,F,0,0,0
S03340,I037,analysis excel manufacturing presentation seo,backend cloud networking python,5.9,5000.0,GEN,M,0,0,0
S00511,I021,excel java manufacturing presentation seo,autocad cad_modelling design manufacturing,9.53,5000.0,OBC,M,0,1,0
S04785,I054,cad_modelling frontend presentation writing,backend frontend networking sql,7.27,5000.0,GEN,M,0,0,0
S04717,I055,communication ml writing,backend cloud ml python,7.4,5000.0,GEN,F,1,1,1
S02882,I043,construction_management excel social_media surveying,communication presentation seo writing,7.07,5000.0,GEN,F,0,0,0
S03433,I036,analysis communication sql,frontend python,7.26,5000.0,SC,F,0,0,0
S04942,I009,analysis communication design networking social_media,autocad design,7.39,5000.0,GEN,M,0,0,0
S02236,I011,cad_modelling communication construction_management financial_modeling presentation,analysis communication,7.09,5000.0,SC,M,0,1,1
S02754,I008,ml networking pcb_design python writing,design manufacturing networking python,5.99,5000.0,ST,F,1,0,0
S05933,I006,cloud design frontend pcb_design writing,analysis cad_modelling design manufacturing,7.48,5000.0,OBC,F,0,1,0
S01046,I057,analysis construction_management design python social_media,backend cloud ml sql,7.02,5000.0,GEN,M,0,0,0
S03228,I051,cloud design seo social_media writing,ml networking python,7.4,5000.0,OBC,F,0,0,0
S00688,I066,python sql,communication sql writing,5.67,5000.0,GEN,M,1,0,0
S03783,I068,design python social_media,analysis communication,8.0,5000.0,OBC,M,1,1,0
S02682,I006,cad_modelling design pcb_design presentation,analysis cad_modelling design manufacturing,7.1,5000.0,GEN,F,0,1,1
S03106,I055,autocad surveying,backend cloud ml python,5.72,5000.0,ST,M,0,0,0
S03454,I063,analysis construction_management design pcb_design,analysis ml presentation python,6.22,5000.0,GEN,F,0,1,1
S00159,I009,backend communication presentation,autocad design,4.0,5000.0,GEN,M,1,0,0
S02867,I039,frontend ml networking writing,excel sql,7.04,5000.0,GEN,F,0,1,1
S05340,I005,financial_modeling python sql,analysis construction_management design,7.36,5000.0,OBC,F,1,1,1
S02026,I045,communication frontend python sql,analysis communication excel,5.52,5000.0,GEN,M,0,1,1
S01249,I067,construction_management frontend networking python,communication ml sql writing,8.8,5000.0,ST,M,1,1,0
S00938,I060,communication presentation,analysis design pcb_design python,6.6,5000.0,GEN,F,0,0,0
S05731,I016,autocad communication python seo writing,manufacturing python,9.26,5000.0,ST,F,0,1,0
S04964,I069,analysis ml python sql writing,analysis excel ml presentation,6.5,5000.0,SC,F,0,0,0
S00939,I006,communication social_media writing,analysis cad_modelling design manufacturing,6.04,5000.0,GEN,M,0,0,0
S02549,I042,autocad backend communication construction_management,communication excel presentation,6.51,5000.0,OBC,M,0,1,1
S02556,I048,construction_management frontend sql,java ml,6.12,5000.0,SC,M,0,0,0
S03075,I048,cloud python social_media,java ml,7.34,5000.0,OBC,F,1,0,0
S00623,I045,construction_management design financial_modeling frontend surveying,analysis communication excel,6.95,5000.0,GEN,M,1,0,0
S01990,I048,backend networking pcb_design python social_media,java ml,5.76,5000.0,GEN,F,0,1,0
S05606,I020,backend java ml networking,excel financial_modeling presentation,7.82,5000.0,GEN,M,1,0,0
S04637,I029,cad_modelling excel sql surveying,communication design,8.05,5000.0,SC,M,1,0,0
S03510,I045,backend design seo,analysis communication excel,6.97,5000.0,GEN,F,0,0,0
S05305,I056,backend java presentation python,ml networking python,5.89,5000.0,GEN,M,0,1,0
S04016,I050,analysis autocad presentation sql,frontend ml networking,7.16,5000.0,GEN,F,0,1,0
S05207,I035,backend cloud ml social_media,financial_modeling presentation,6.42,5000.0,GEN,F,0,0,0
S01254,I064,design financial_modeling presentation python,analysis ml python sql,7.0,5000.0,OBC,M,1,0,0
S05329,I056,frontend networking seo writing,ml networking python,7.48,5000.0,OBC,F,1,1,0
S04409,I068,communication writing,analysis communication,5.71,5000.0,OBC,M,1,0,0
S05989,I032,backend cloud networking,autocad construction_management design surveying,6.29,5000.0,GEN,F,0,0,0
S02012,I068,excel sql,analysis communication,8.31,5000.0,GEN,F,0,0,0
S03693,I039,analysis java networking social_media writing,excel sql,5.42,5000.0,GEN,M,0,0,0
S05000,I035,sql surveying,financial_modeling presentation,7.57,5000.0,OBC,M,1,0,0
S04050,I060,presentation sql writing,analysis design pcb_design python,8.46,5000.0,ST,M,0,0,0
S01738,I056,ml networking pcb_design python social_media,ml networking python,7.55,5000.0,OBC,M,0,1,1
S02291,I065,analysis networking python,communication presentation sql writing,5.46,5000.0,GEN,M,0,0,0
S02264,I058,analysis design pcb_design,cloud sql,6.91,5000.0,OBC,M,0,0,0
S01566,I010,manufacturing ml,presentation sql,6.8,5000.0,OBC,F,0,1,0
S04003,I066,excel sql,communication sql writing,6.54,5000.0,ST,F,0,0,0
S03901,I050,cad_modelling construction_management writing,frontend ml networking,8.75,5000.0,GEN,M,1,0,0
S00142,I047,frontend python,cad_modelling design manufacturing,6.35,5000.0,ST,M,0,1,1
S05668,I050,analysis communication excel presentation writing,frontend ml networking,7.49,5000.0,OBC,F,0,1,0
S03024,I042,communication financial_modeling presentation surveying,communication excel presentation,7.38,5000.0,SC,F,0,1,0
S03486,I058,analysis autocad cad_modelling,cloud sql,6.69,5000.0,GEN,M,0,0,0
S02883,I043,excel ml seo writing,communication presentation seo writing,8.03,5000.0,ST,F,0,0,0
S02060,I034,cloud sql,design manufacturing python,4.91,5000.0,GEN,M,0,0,0
S02585,I010,cloud communication design python,presentation sql,6.43,5000.0,GEN,F,1,1,0
S05654,I015,analysis cloud presentation python sql,communication excel presentation,6.47,5000.0,OBC,M,0,1,1
S03967,I010,analysis communication presentation python writing,presentation sql,8.61,5000.0,GEN,M,1,1,0
S04298,I036,communication excel ml,frontend python,7.02,5000.0,SC,F,1,0,0
S01591,I063,analysis ml,analysis ml presentation python,8.83,5000.0,GEN,F,0,1,0
S02477,I055,frontend sql,backend cloud ml python,7.49,5000.0,GEN,F,0,1,0
S02248,I033,communication presentation,analysis design python,7.03,5000.0,GEN,F,1,1,1
S02394,I066,communication excel,communication sql writing,7.7,5000.0,GEN,F,0,0,0
S04022,I011,excel financial_modeling sql,analysis communication,7.62,5000.0,OBC,M,1,1,1
S02330,I018,design presentation,backend java python,7.34,5000.0,GEN,F,0,0,0
S01511,I038,excel financial_modeling presentation sql,analysis sql,5.99,5000.0,OBC,M,1,0,0
S03914,I028,excel presentation,analysis cad_modelling design,7.96,5000.0,SC,M,1,1,1
S04029,I048,communication excel writing,java ml,6.67,5000.0,GEN,F,0,1,0
S00440,I010,construction_management surveying,presentation sql,7.18,5000.0,OBC,F,1,1,0
S02490,I010,design excel python writing,presentation sql,7.95,5000.0,OBC,M,1,1,0
S04572,I028,cad_modelling ml presentation,analysis cad_modelling design,7.89,5000.0,GEN,F,0,0,0
S05067,I062,backend excel networking pcb_design python,analysis communication excel,7.55,5000.0,GEN,F,0,1,0
S03691,I012,analysis networking python surveying,excel seo writing,5.25,5000.0,GEN,F,1,0,0
S04822,I014,communication java presentation sql,backend frontend python,7.24,5000.0,OBC,F,0,0,0
S05088,I007,python social_media,design manufacturing networking pcb_design,6.58,5000.0,GEN,M,0,1,0
S00813,I010,analysis autocad presentation,presentation sql,6.36,5000.0,SC,F,0,0,0
S01729,I030,construction_management presentation surveying writing,cloud java python sql,6.91,5000.0,GEN,M,1,0,0
S01965,I041,design manufacturing networking python,communication design excel seo,6.67,5000.0,OBC,F,1,1,1
S00022,I056,design networking social_media writing,ml networking python,5.78,5000.0,OBC,M,0,0,0
S03850,I048,frontend ml,java ml,6.4,5000.0,GEN,M,1,1,1
S05792,I053,backend excel frontend networking,backend cloud sql,8.01,5000.0,OBC,M,0,1,0
S00584,I013,backend communication design seo,analysis construction_management design surveying,7.92,5000.0,GEN,M,0,0,0
S05121,I039,backend java ml,excel sql,8.44,5000.0,GEN,F,1,0,0
S01621,I047,autocad construction_management design,cad_modelling design manufacturing,4.91,5000.0,OBC,F,1,0,0
S05306,I053,ml sql,backend cloud sql,6.15,5000.0,GEN,F,0,1,0
S01166,I003,design pcb_design,ml networking python sql,6.13,5000.0,GEN,M,1,1,1
S02520,I062,frontend ml networking sql,analysis communication excel,7.51,5000.0,GEN,F,0,0,0
S02365,I042,cloud networking,communication excel presentation,4.0,5000.0,GEN,M,1,0,0
S02492,I037,analysis cad_modelling design,backend cloud networking python,6.16,5000.0,GEN,F,0,0,0
S04100,I043,cad_modelling excel pcb_design seo social_media,communication presentation seo writing,5.79,5000.0,GEN,M,1,0,0
S04900,I030,communication frontend presentation sql writing,cloud java python sql,6.58,5000.0,OBC,M,0,1,0
S02641,I002,manufacturing ml python social_media,analysis autocad,6.77,5000.0,GEN,M,1,0,0
S01876,I028,construction_management design manufacturing pcb_design python,analysis cad_modelling design,7.83,5000.0,GEN,M,0,0,0
S04713,I010,frontend java manufacturing sql writing,presentation sql,6.53,5000.0,SC,F,0,0,0
S05508,I050,frontend ml,frontend ml networking,6.53,5000.0,GEN,M,0,0,0
S01436,I055,analysis ml,backend cloud ml python,7.92,5000.0,OBC,O,1,0,0
S02279,I043,construction_management sql,communication presentation seo writing,6.9,5000.0,GEN,F,0,1,0
S05201,I045,frontend presentation surveying,analysis communication excel,8.85,5000.0,OBC,M,0,0,0
S03851,I010,backend communication design financial_modeling python,presentation sql,5.5,5000.0,GEN,M,1,0,0
S05490,I021,presentation seo social_media,autocad cad_modelling design manufacturing,4.92,5000.0,OBC,M,0,1,1
S03373,I045,design networking seo,analysis communication excel,6.0,5000.0,OBC,M,1,0,0
S03281,I029,analysis manufacturing pcb_design presentation surveying,communication design,8.1,5000.0,ST,F,1,0,0
S03726,I017,ml python social_media sql writing,analysis presentation,5.3,5000.0,ST,M,1,1,0
S00950,I008,communication seo writing,design manufacturing networking python,8.32,5000.0,OBC,F,1,0,0
S04216,I011,excel pcb_design presentation social_media sql,analysis communication,7.65,5000.0,OBC,O,1,0,1
S04445,I014,ml presentation writing,backend frontend python,7.23,5000.0,OBC,F,0,0,0
S04248,I062,cloud communication excel writing,analysis communication excel,7.8,5000.0,GEN,F,0,1,0
S05124,I006,analysis communication ml presentation social_media,analysis cad_modelling design manufacturing,6.41,5000.0,OBC,M,1,0,0
S02188,I068,design seo,analysis communication,6.11,5000.0,GEN,M,0,0,0
S03590,I009,communication construction_management frontend seo surveying,autocad design,7.68,5000.0,GEN,F,0,0,0
S00237,I060,cloud frontend java,analysis design pcb_design python,6.89,5000.0,GEN,M,0,0,0
S01961,I057,analysis financial_modeling presentation surveying,backend cloud ml sql,6.64,5000.0,GEN,F,1,0,0
S00113,I050,analysis backend financial_modeling networking presentation,frontend ml networking,6.78,5000.0,GEN,M,1,0,0
S00930,I064,cloud frontend ml seo sql,analysis ml python sql,5.56,5000.0,GEN,M,0,0,0
S01262,I020,analysis backend communication sql,excel financial_modeling presentation,6.82,5000.0,GEN,M,1,0,0
S04169,I054,analysis ml sql,backend frontend networking sql,6.37,5000.0,SC,M,0,0,0
S03953,I036,analysis manufacturing networking seo writing,frontend python,8.61,5000.0,GEN,M,0,0,0
