student_id,gpa,skills,reservation,rural,gender,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6
S00033,6.32,manufacturing;autocad;cad_modelling;networking,GEN,1,M,I006,I051,I038,I052,I049,I047
S00034,7.61,design;presentation;seo;financial_modeling;frontend,GEN,0,F,I041,I023,I018,I051,I024,I052
S00035,8.03,writing;presentation;communication,GEN,0,F,I049,I023,I050,I011,I004,I005
S00036,7.93,social_media;excel,GEN,1,M,I029,I011,I006,I038,I043,I049
S00037,6.16,excel;presentation;construction_management;manufacturing;backend,GEN,0,M,I041,I043,I006,I058,I010,I052
S00038,6.69,analysis;frontend,GEN,0,M,I024,I050,I036,I049,I057,I053
S00039,6.52,cad_modelling;design;manufacturing,OBC,1,F,I001,I012,I049,I050,I057,I039
S00040,6.81,construction_management;autocad,GEN,1,M,I027,I052,I015,I039,I036,I021
S00041,7.81,java;ml;backend;manufacturing;construction_management,GEN,0,M,I023,I003,I009,I018,I011,I052
S00042,8.36,writing;cloud;cad_modelling;java;frontend,GEN,0,M,I040,I036,I050,I011,I058,I045
S00043,7.36,seo;presentation;pcb_design,ST,0,F,I012,I050,I035,I038,I037,I036
S00044,6.35,design;backend;surveying;social_media,GEN,0,F,I006,I038,I014,I041,I029,I042
S00045,6.96,python;pcb_design;manufacturing;cad_modelling;ml,GEN,0,M,I007,I012,I058,I027,I010,I055
S00046,8.56,manufacturing;design;analysis;construction_management;autocad,ST,0,M,I002,I057,I046,I056,I038,I041
S00047,7.09,manufacturing;analysis,GEN,1,F,I033,I056,I004,I053,I023,I030
S00048,6.7,excel;seo;frontend,GEN,0,F,I022,I036,I048,I056,I037,I023
S00049,6.78,communication;writing;autocad;construction_management;analysis,ST,0,F,I029,I043,I059,I023,I058,I048
S00050,7.36,analysis;design;construction_management,OBC,0,M,I005,I016,I018,I052,I049,I012
S00051,6.19,networking;sql;java;design,GEN,0,M,I057,I052,I055,I029,I037,I020
S00052,6.5,seo;social_media;excel,SC,0,F,I012,I058,I054,I030,I053,I002
S00053,7.92,cloud;backend,OBC,0,F,I030,I006,I054,I056,I023,I035
S00054,7.33,seo;social_media;writing;autocad;excel,SC,1,M,I043,I054,I045,I057,I020,I050
S00055,7.1,design;manufacturing;ml;social_media,GEN,0,F,I007,I018,I046,I058,I005,I028
S00056,7.97,ml;sql,GEN,0,F,I055,I039,I052,I010,I054,I011
S00057,6.3,sql;cloud;cad_modelling;frontend;ml,GEN,1,M,I014,I051,I056,I048,I024,I047
S00058,6.67,design;frontend;construction_management,OBC,0,M,I013,I046,I042,I027,I060,I040
S00059,7.3,python;writing;manufacturing;analysis;autocad,OBC,1,F,I008,I051,I024,I020,I057,I049
S00060,7.26,sql;cloud;ml;financial_modeling,OBC,0,M,I014,I055,I051,I058,I044,I030
S00061,5.58,networking;pcb_design;design;social_media;backend,SC,1,M,I026,I003,I020,I052,I057,I029
S00062,6.58,writing;presentation;frontend;backend;construction_management,ST,1,M,I029,I044,I056,I014,I052,I004
S00063,6.84,financial_modeling;presentation;excel;cloud;autocad,GEN,0,M,I011,I058,I005,I018,I057,I052
S00064,7.4,networking;sql;autocad;python,GEN,0,M,I052,I036,I008,I023,I034,I031
S00065,7.26,manufacturing;analysis;surveying;presentation;pcb_design,SC,0,M,I024,I009,I055,I052,I018,I053
S00066,6.93,analysis;design,GEN,1,F,I008,I015,I014,I052,I009,I057
S00067,5.08,surveying;ml;manufacturing;autocad,SC,1,F,I013,I046,I053,I044,I029,I008
S00068,6.97,social_media;design,ST,1,M,I040,I048,I025,I036,I013,I006
S00069,7.06,presentation;financial_modeling;analysis,GEN,1,M,I031,I035,I027,I044,I053,I047
S00070,9.46,design;analysis;java,OBC,1,F,I006,I044,I057,I025,I030,I053
S00071,6.81,analysis;financial_modeling;backend;pcb_design,OBC,1,F,I017,I015,I060,I013,I023,I053
S00072,7.3,social_media;design;writing,SC,0,F,I022,I051,I004,I030,I058,I045
S00073,8.14,analysis;surveying;pcb_design;social_media;autocad,ST,1,F,I005,I058,I054,I053,I012,I018
S00074,7.75,design;manufacturing;financial_modeling,SC,0,M,I016,I056,I057,I035,I032,I030
S00075,8.4,ml;networking;backend;cad_modelling;pcb_design,OBC,0,M,I003,I045,I056,I002,I018,I014
S00076,5.6,python;construction_management,GEN,0,M,I026,I041,I046,I043,I051,I022
S00077,6.01,surveying;autocad,OBC,1,M,I019,I046,I058,I018,I002,I053
S00078,6.43,excel;seo;social_media,GEN,0,M,I043,I046,I054,I006,I053,I036
S00079,5.45,presentation;communication;social_media,GEN,0,O,I029,I026,I011,I030,I056,I052
S00080,7.07,cad_modelling;autocad,ST,1,M,I028,I041,I025,I009,I048,I023
S00081,6.08,surveying;writing,SC,0,M,I005,I039,I052,I014,I003,I055
S00082,8.55,backend;cloud;ml;construction_management;java,GEN,1,F,I018,I041,I035,I048,I021,I011
S00083,6.22,autocad;java;ml;manufacturing;communication,GEN,0,M,I005,I056,I036,I010,I049,I055
S00084,6.68,design;autocad;surveying;java,SC,0,F,I025,I018,I038,I030,I043,I037
S00085,7.81,presentation;seo,OBC,0,M,I020,I008,I037,I040,I011,I054
S00086,5.77,seo;writing;presentation,SC,0,F,I029,I057,I040,I021,I009,I016
S00087,5.39,communication;social_media;seo;sql,OBC,1,F,I022,I057,I052,I020,I017,I043
S00088,7.18,manufacturing;communication;autocad;analysis;financial_modeling,GEN,0,M,I006,I037,I028,I014,I055,I026
S00089,7.26,python;backend;analysis,GEN,1,M,I050,I055,I034,I058,I056,I054
S00090,7.78,excel;writing;seo;construction_management;analysis,OBC,1,F,I012,I004,I023,I044,I055,I049
S00091,7.52,frontend;python;autocad,GEN,0,M,I014,I039,I052,I023,I058,I049
S00092,7.3,python;communication,SC,0,F,I051,I050,I054,I039,I013,I056
S00093,6.32,design;presentation;excel;python;autocad,SC,1,F,I040,I026,I010,I034,I023,I056
S00094,7.23,networking;java;social_media;cloud;sql,ST,0,F,I014,I043,I050,I017,I036,I035
S00095,7.29,python;networking;pcb_design;presentation,SC,1,F,I024,I058,I036,I040,I041,I049
S00096,6.29,financial_modeling;analysis;pcb_design;backend,ST,1,M,I045,I037,I041,I057,I051,I022
S00097,8.87,java;backend,OBC,0,M,I058,I018,I036,I016,I039,I056
S00098,7.47,pcb_design;python;java;communication;sql,OBC,1,M,I007,I058,I014,I048,I056,I037
S00099,6.03,python;design,GEN,1,F,I008,I057,I003,I054,I053,I015
S00100,7.79,sql;manufacturing;frontend;networking;java,OBC,0,F,I031,I026,I051,I047,I002,I027
S00101,7.96,excel;analysis;sql;cad_modelling;presentation,OBC,0,M,I017,I057,I001,I031,I036,I021
S00102,7.41,communication;seo;presentation;analysis,GEN,0,F,I022,I045,I018,I012,I013,I052
S00103,6.75,sql;presentation,OBC,1,M,I042,I008,I043,I006,I040,I038
S00104,6.25,ml;frontend,GEN,1,F,I051,I033,I041,I048,I023,I003
S00105,6.92,communication;presentation,GEN,0,F,I012,I035,I052,I058,I047,I059
S00106,7.34,manufacturing;cad_modelling;presentation;pcb_design,GEN,0,F,I026,I011,I058,I054,I052,I036
S00107,7.01,networking;construction_management,GEN,0,M,I057,I051,I055,I002,I017,I010
S00108,8.45,frontend;networking,GEN,0,M,I057,I053,I050,I023,I043,I047
S00109,7.63,surveying;construction_management;autocad,GEN,1,M,I027,I058,I057,I048,I053,I024
S00110,6.14,python;networking,SC,1,M,I034,I040,I030,I018,I027,I009
S00111,5.93,cloud;networking;presentation,GEN,0,F,I014,I024,I056,I018,I017,I052
S00112,7.48,financial_modeling;presentation;sql;frontend;analysis,GEN,0,M,I015,I039,I010,I058,I037,I055
S00113,6.78,analysis;financial_modeling;backend;networking;presentation,GEN,1,M,I045,I042,I018,I041,I057,I027
S00114,7.71,python;frontend;java,OBC,0,M,I052,I055,I007,I054,I004,I001
S00115,7.47,excel;communication;seo;surveying;social_media,GEN,0,M,I049,I033,I002,I051,I040,I022
S00116,6.93,frontend;networking;autocad;ml,SC,0,M,I053,I030,I031,I042,I058,I018
S00117,6.15,communication;financial_modeling,GEN,0,M,I012,I055,I047,I028,I058,I056
S00118,5.49,construction_management;autocad;surveying;backend,OBC,1,M,I025,I002,I017,I012,I054,I057
S00119,7.21,excel;financial_modeling,OBC,0,M,I042,I035,I054,I027,I052,I058
S00120,5.75,construction_management;frontend;networking;ml;cloud,GEN,0,M,I013,I014,I050,I046,I052,I025
S00121,6.12,communication;ml;presentation;cad_modelling;construction_management,GEN,0,M,I041,I044,I025,I030,I022,I009
S00122,7.15,sql;design;autocad;frontend;backend,GEN,0,M,I036,I039,I008,I018,I046,I045
S00123,7.06,cad_modelling;autocad;frontend;backend,GEN,0,F,I006,I044,I050,I037,I015,I033
S00124,5.86,cad_modelling;autocad;design,GEN,0,M,I006,I052,I003,I051,I057,I018
S00125,8.08,communication;financial_modeling;excel,OBC,1,M,I015,I036,I044,I043,I041,I057
S00126,8.05,analysis;design;construction_management,SC,1,F,I004,I045,I042,I047,I058,I028
S00127,7.52,python;networking;cad_modelling;communication,OBC,0,F,I008,I028,I003,I011,I035,I058
S00128,7.51,communication;presentation;sql;excel;python,GEN,0,M,I040,I055,I047,I049,I014,I058
S00129,7.52,python;backend;seo;networking;financial_modeling,GEN,0,M,I054,I042,I030,I049,I016,I051
S00130,10.0,communication;sql;financial_modeling;seo,GEN,0,M,I044,I011,I028,I036,I014,I049
S00131,7.95,sql;analysis;construction_management;autocad;manufacturing,GEN,0,M,I011,I017,I046,I050,I047,I060
S00132,7.65,java;cloud;backend;cad_modelling;financial_modeling,GEN,1,M,I018,I051,I036,I014,I043,I054
S00133,6.23,social_media;design,GEN,0,F,I040,I054,I029,I003,I051,I042
S00134,6.76,social_media;communication,GEN,1,O,I029,I052,I018,I054,I044,I028
S00135,9.31,financial_modeling;presentation;frontend,GEN,1,M,I015,I043,I057,I040,I056,I054
S00136,5.13,networking;financial_modeling;java;surveying,OBC,0,F,I018,I046,I032,I008,I054,I052
S00137,6.53,seo;social_media,OBC,1,M,I049,I050,I055,I053,I031,I058
S00138,8.09,manufacturing;seo,GEN,0,F,I047,I053,I036,I011,I055,I001
S00139,6.28,autocad;analysis;social_media;communication,OBC,0,M,I005,I006,I045,I051,I052,I036
S00140,7.68,ml;cloud,OBC,1,M,I037,I007,I030,I051,I010,I023
S00141,7.05,presentation;seo;design,ST,0,M,I012,I046,I014,I035,I049,I055
S00142,6.35,frontend;python,ST,0,M,I036,I055,I048,I022,I040,I052
S00143,4.97,presentation;writing,GEN,0,M,I041,I030,I054,I035,I042,I014
S00144,7.19,construction_management;surveying;design;analysis,GEN,1,F,I013,I009,I041,I045,I022,I024
S00145,6.21,manufacturing;design;pcb_design;ml;autocad,OBC,1,F,I007,I011,I045,I006,I048,I015
S00146,6.89,design;excel;python;writing,GEN,0,M,I002,I054,I021,I008,I050,I043
S00147,7.5,python;ml,GEN,0,M,I052,I055,I002,I004,I029,I057
S00148,7.87,excel;sql;analysis;communication,OBC,1,M,I045,I038,I056,I015,I054,I058
S00149,6.53,cloud;java;ml;seo,GEN,0,F,I030,I058,I060,I053,I051,I042
S00150,6.35,frontend;python;sql;surveying;backend,OBC,0,F,I037,I034,I058,I012,I020,I004
S00151,5.74,design;surveying;sql;autocad;social_media,GEN,0,F,I040,I058,I018,I019,I024,I054
S00152,7.92,excel;presentation;manufacturing,GEN,0,F,I022,I011,I030,I052,I036,I055
S00153,9.12,analysis;manufacturing;frontend,OBC,0,M,I002,I020,I058,I003,I034,I036
S00154,8.03,autocad;analysis;ml;python;social_media,GEN,1,F,I004,I017,I047,I054,I010,I055
S00155,8.27,presentation;design;communication;cloud;manufacturing,GEN,1,F,I029,I056,I003,I045,I018,I023
S00156,6.29,social_media;seo,GEN,1,F,I041,I029,I040,I037,I056,I038
S00157,7.44,autocad;networking;social_media,OBC,0,M,I019,I018,I040,I053,I051,I052
S00158,7.77,python;backend;networking;autocad,ST,1,M,I037,I057,I042,I015,I058,I056
S00159,4.0,presentation;communication;backend,GEN,1,M,I012,I006,I014,I050,I011,I040
S00160,5.98,communication;presentation;analysis;construction_management;autocad,GEN,0,M,I045,I018,I043,I014,I023,I050
S00161,8.63,sql;cloud;java,ST,0,F,I053,I026,I008,I028,I024,I045
S00162,5.57,design;analysis,GEN,1,M,I016,I036,I035,I014,I056,I029
S00163,8.44,communication;presentation,OBC,0,M,I043,I019,I010,I027,I056,I014
S00164,5.56,excel;java;writing;networking;autocad,SC,0,F,I039,I050,I051,I020,I021,I018
S00165,6.02,excel;python;networking;design;seo,GEN,1,M,I039,I022,I009,I055,I023,I031
S00166,7.46,analysis;presentation;construction_management;sql;java,SC,0,M,I015,I052,I048,I009,I029,I041
S00167,7.07,design;manufacturing;analysis,GEN,0,M,I009,I056,I050,I039,I053,I049
S00168,6.61,analysis;design;seo;java;construction_management,ST,0,F,I001,I020,I056,I008,I031,I033
S00169,8.59,writing;surveying;excel;frontend;cad_modelling,OBC,0,F,I040,I056,I020,I048,I043,I036
S00170,5.76,design;cad_modelling,GEN,0,M,I028,I003,I054,I023,I021,I038
S00171,6.85,communication;networking,GEN,0,F,I020,I056,I035,I038,I040,I030
S00172,7.59,writing;sql;manufacturing,OBC,0,M,I022,I004,I030,I016,I037,I033
S00173,7.28,social_media;cloud;ml;frontend,GEN,1,F,I041,I003,I004,I055,I053,I017
S00174,6.38,manufacturing;networking;design,SC,1,F,I024,I018,I045,I057,I050,I020
S00175,6.41,design;seo,GEN,1,M,I041,I044,I021,I049,I037,I027
S00176,7.85,seo;presentation,OBC,0,M,I022,I049,I051,I048,I060,I019
S00177,7.9,backend;frontend;ml;design;construction_management,GEN,0,F,I052,I015,I010,I011,I018,I054
S00178,7.31,presentation;sql;backend;financial_modeling,GEN,0,F,I042,I055,I036,I043,I057,I007
S00179,6.17,analysis;cad_modelling;java,GEN,0,M,I001,I026,I051,I053,I038,I046
S00180,6.44,design;autocad,GEN,0,F,I043,I046,I031,I058,I030,I003
S00181,6.98,writing;communication;autocad;cad_modelling,GEN,1,F,I029,I044,I014,I054,I023,I022
S00182,7.12,analysis;networking;java;design;python,GEN,0,F,I011,I044,I015,I030,I048,I003
S00183,7.55,networking;python;surveying;backend;pcb_design,OBC,0,F,I054,I048,I016,I001,I033,I010
S00184,6.8,writing;design,SC,0,M,I029,I016,I020,I040,I017,I050
S00185,7.83,design;pcb_design;ml;excel;frontend,GEN,1,M,I060,I046,I036,I058,I020,I004
S00186,7.81,autocad;backend,GEN,0,M,I047,I029,I036,I045,I056,I010
S00187,8.31,autocad;sql;communication,GEN,1,F,I021,I010,I056,I037,I042,I036
S00188,7.02,communication;social_media;frontend;writing;python,OBC,0,F,I040,I050,I049,I052,I043,I042
S00189,7.32,sql;construction_management;ml;python;seo,GEN,0,F,I017,I057,I039,I037,I014,I052
S00190,6.87,analysis;manufacturing;autocad;pcb_design;backend,GEN,0,M,I001,I011,I038,I048,I035,I042
S00191,6.18,python;networking;frontend;financial_modeling,GEN,1,M,I054,I025,I051,I043,I049,I028
S00192,9.09,writing;financial_modeling,OBC,1,F,I029,I012,I051,I010,I045,I015
S00193,8.16,communication;sql,OBC,0,M,I045,I058,I012,I038,I039,I004
S00194,7.79,networking;pcb_design;analysis;surveying;autocad,GEN,0,F,I008,I035,I045,I049,I018,I032
S00195,6.99,cad_modelling;autocad;manufacturing;design,SC,1,M,I009,I045,I023,I029,I048,I058
S00196,6.1,seo;design;presentation;manufacturing;python,GEN,0,M,I041,I039,I003,I012,I048,I016
S00197,7.98,networking;social_media;cad_modelling;cloud;seo,OBC,1,M,I007,I042,I018,I053,I023,I048
S00198,6.85,backend;surveying;cad_modelling;construction_management;design,GEN,1,F,I036,I053,I058,I022,I014,I050
S00199,7.41,seo;writing;sql;java,GEN,0,M,I029,I057,I044,I052,I046,I055
S00200,6.44,design;social_media;analysis,OBC,1,F,I043,I010,I018,I017,I026,I029
S00201,7.24,pcb_design;backend;presentation,ST,1,M,I024,I056,I057,I031,I041,I022
S00202,6.49,python;seo,GEN,0,F,I051,I006,I048,I052,I055,I035
S00203,6.53,analysis;design;networking;ml;sql,OBC,1,F,I008,I015,I019,I007,I054,I056
S00204,7.23,analysis;pcb_design,GEN,0,M,I007,I011,I053,I023,I010,I052
S00205,5.55,design;manufacturing;surveying,GEN,0,M,I009,I055,I013,I003,I043,I032
S00206,5.59,cad_modelling;cloud;design,GEN,0,F,I002,I011,I048,I042,I006,I052
S00207,6.28,seo;construction_management;networking;excel,GEN,0,M,I049,I022,I007,I015,I037,I025
S00208,6.79,presentation;analysis;backend;pcb_design;financial_modeling,ST,0,M,I042,I036,I052,I037,I010,I047
S00209,7.86,networking;manufacturing,OBC,1,F,I060,I056,I041,I059,I037,I052
S00210,6.84,social_media;surveying,GEN,0,M,I040,I049,I052,I012,I014,I042
S00211,6.98,cloud;pcb_design;presentation,GEN,1,F,I036,I030,I057,I056,I003,I048
S00212,6.71,communication;analysis,OBC,1,F,I020,I039,I029,I055,I038,I045
S00213,7.32,networking;writing,OBC,0,M,I046,I051,I037,I017,I014,I054
S00214,6.17,design;analysis;construction_management;surveying,OBC,0,M,I012,I046,I056,I051,I054,I057
S00215,6.89,seo;social_media;backend;autocad,GEN,1,M,I043,I044,I007,I030,I012,I002
S00216,7.4,excel;social_media,GEN,0,F,I049,I011,I044,I054,I056,I052
S00217,7.22,autocad;design,GEN,1,F,I006,I037,I018,I055,I023,I035
S00218,7.01,analysis;design;java;manufacturing,GEN,0,M,I033,I047,I018,I055,I035,I029
S00219,7.02,presentation;seo;excel;communication,GEN,0,M,I029,I055,I048,I052,I036,I050
S00220,7.5,ml;financial_modeling,OBC,0,F,I058,I056,I035,I006,I017,I008
S00221,9.15,autocad;design;cad_modelling;backend;networking,OBC,0,F,I027,I003,I044,I039,I018,I014
S00222,6.23,excel;cad_modelling,OBC,0,M,I038,I021,I054,I056,I028,I058
S00223,9.19,sql;networking;cad_modelling;backend,GEN,1,M,I014,I055,I054,I043,I050,I058
S00224,6.19,cloud;backend,OBC,1,F,I018,I050,I054,I036,I030,I042
S00225,4.88,frontend;sql;backend,GEN,0,F,I036,I050,I056,I039,I015,I052
S00226,6.47,autocad;construction_management;design;presentation;writing,GEN,1,M,I025,I038,I058,I056,I055,I021
S00227,7.34,social_media;seo;communication;autocad,GEN,1,F,I041,I058,I050,I036,I049,I002
S00228,8.88,excel;autocad;networking;presentation,GEN,0,M,I041,I029,I031,I036,I043,I058
S00229,6.1,autocad;analysis;financial_modeling;java;seo,SC,0,M,I028,I039,I051,I053,I023,I042
S00230,7.49,design;social_media;frontend;presentation,GEN,0,F,I029,I003,I011,I055,I058,I016
S00231,5.68,analysis;python;manufacturing;design;writing,OBC,0,M,I060,I035,I045,I033,I056,I009
S00232,8.83,autocad;cad_modelling;python;java;networking,GEN,0,F,I047,I048,I057,I050,I009,I014
S00233,8.18,networking;backend;cloud,GEN,0,F,I036,I018,I020,I046,I011,I055
S00234,6.53,sql;communication;financial_modeling,ST,1,M,I031,I040,I046,I023,I028,I041
S00235,5.29,manufacturing;analysis;autocad;frontend;python,GEN,0,F,I006,I052,I053,I044,I042,I017
S00236,8.35,frontend;ml;backend,OBC,0,F,I014,I052,I054,I035,I055,I016
S00237,6.89,frontend;cloud;java,GEN,0,M,I052,I049,I050,I018,I013,I037
S00238,8.24,analysis;manufacturing,SC,1,M,I059,I041,I015,I056,I018,I030
S00239,7.01,java;analysis,GEN,0,O,I055,I048,I023,I024,I044,I003
S00240,7.05,python;sql;backend;construction_management;communication,SC,0,F,I018,I035,I020,I058,I044,I050
S00241,6.55,analysis;seo,OBC,0,M,I027,I013,I041,I010,I038,I024
S00242,7.62,pcb_design;python,GEN,1,M,I016,I042,I041,I038,I026,I037
S00243,7.12,communication;seo;pcb_design;analysis,GEN,1,M,I043,I051,I056,I045,I029,I024
S00244,7.51,backend;python;networking;surveying;excel,OBC,0,F,I036,I004,I057,I014,I003,I010
S00245,5.47,cloud;seo,OBC,1,F,I030,I038,I056,I009,I054,I006
S00246,8.28,cloud;pcb_design;excel;networking,OBC,0,M,I014,I041,I017,I040,I020,I046
S00247,8.55,networking;analysis;pcb_design,GEN,0,M,I060,I027,I014,I059,I036,I029
S00248,7.12,social_media;design;frontend,GEN,0,F,I041,I029,I036,I058,I001,I003
S00249,9.06,sql;financial_modeling;analysis;java,ST,0,M,I042,I003,I028,I012,I029,I043
S00250,8.76,manufacturing;analysis,OBC,0,F,I002,I010,I006,I052,I029,I054
S00251,7.65,manufacturing;design;analysis;seo,OBC,0,M,I006,I014,I039,I018,I004,I051
S00252,8.37,frontend;python,GEN,1,M,I018,I035,I036,I050,I052,I038
S00253,8.06,financial_modeling;analysis,OBC,1,M,I020,I036,I029,I027,I044,I003
S00254,5.24,manufacturing;excel;sql;networking,GEN,0,M,I002,I057,I055,I054,I003,I050
S00255,6.73,seo;writing;communication;autocad;construction_management,GEN,0,M,I029,I056,I040,I018,I006,I016
S00256,7.72,analysis;seo,OBC,0,F,I013,I031,I058,I039,I050,I056
S00257,8.63,java;cloud;design;python,GEN,0,F,I057,I027,I028,I044,I018,I058
S00258,5.62,excel;seo;communication,OBC,0,M,I029,I009,I031,I058,I045,I046
S00259,5.3,frontend;pcb_design;java,GEN,0,M,I018,I036,I056,I052,I048,I043
S00260,6.94,frontend;cloud;social_media;backend;java,OBC,0,M,I037,I053,I010,I015,I052,I045
S00261,4.93,seo;presentation;writing;autocad;pcb_design,GEN,0,F,I040,I036,I014,I018,I033,I058
S00262,6.91,analysis;surveying;autocad;manufacturing;presentation,GEN,1,M,I013,I052,I045,I054,I051,I032
S00263,7.37,design;excel;communication,GEN,1,M,I049,I041,I039,I045,I004,I022
S00264,6.06,seo;financial_modeling;excel;communication;cad_modelling,OBC,1,M,I012,I057,I050,I013,I035,I036
S00265,6.94,autocad;manufacturing,GEN,0,F,I027,I046,I009,I050,I051,I058
S00266,7.96,manufacturing;analysis;frontend,GEN,1,F,I002,I024,I052,I036,I045,I011
S00267,6.47,java;manufacturing;autocad,SC,1,M,I057,I035,I043,I001,I055,I020
S00268,6.21,sql;python;communication;manufacturing,GEN,1,M,I052,I059,I014,I020,I046,I048
S00269,6.89,sql;excel,GEN,1,F,I044,I022,I012,I050,I020,I039
S00270,5.96,design;presentation;frontend;cad_modelling,OBC,1,O,I043,I042,I046,I057,I045,I038
S00271,8.96,networking;autocad,GEN,1,M,I050,I004,I028,I054,I017,I045
S00272,7.04,analysis;backend,OBC,0,M,I020,I054,I057,I038,I037,I003
S00273,6.3,analysis;autocad;surveying;seo,GEN,0,F,I004,I049,I053,I056,I029,I058
S00274,7.21,social_media;presentation;communication;frontend,GEN,0,M,I049,I033,I038,I018,I036,I057
S00275,6.89,backend;financial_modeling;pcb_design,SC,0,M,I051,I023,I025,I052,I010,I058
S00276,6.78,communication;excel,SC,0,M,I010,I011,I052,I003,I046,I018
S00277,6.47,sql;cad_modelling,SC,1,F,I011,I040,I018,I030,I027,I014
S00278,6.42,networking;sql,GEN,0,M,I050,I009,I030,I049,I056,I045
S00279,5.48,ml;python;backend;pcb_design;communication,OBC,0,F,I057,I036,I048,I049,I018,I054
S00280,8.37,manufacturing;cad_modelling;financial_modeling;excel;writing,OBC,0,F,I047,I037,I055,I022,I028,I042
S00281,7.58,writing;design;social_media,GEN,0,M,I041,I058,I030,I027,I054,I044
S00282,7.31,construction_management;surveying;autocad;backend;pcb_design,OBC,0,M,I019,I010,I036,I024,I034,I044
S00283,6.87,ml;manufacturing,GEN,0,M,I052,I039,I030,I042,I015,I048
S00284,6.04,analysis;presentation,GEN,1,O,I010,I006,I056,I058,I001,I042
S00285,6.24,manufacturing;pcb_design;python;communication;networking,OBC,1,F,I024,I042,I055,I030,I035,I022
S00286,5.58,surveying;construction_management;analysis,SC,1,F,I004,I044,I036,I015,I039,I042
S00287,6.35,communication;surveying;financial_modeling;presentation,SC,1,M,I040,I011,I037,I050,I012,I051
S00288,5.92,design;communication,SC,0,M,I043,I056,I040,I002,I036,I042
S00289,8.69,seo;manufacturing;cad_modelling;communication,GEN,0,F,I029,I043,I048,I022,I052,I003
S00290,7.88,financial_modeling;analysis;communication,OBC,0,M,I042,I029,I014,I053,I018,I015
S00291,7.08,pcb_design;autocad;seo;communication;design,OBC,0,F,I024,I043,I055,I005,I020,I054
S00292,6.14,networking;autocad;python;backend,SC,0,M,I024,I057,I036,I049,I058,I003
S00293,5.96,financial_modeling;sql,ST,1,F,I015,I033,I052,I051,I044,I017
S00294,6.81,backend;sql,OBC,1,F,I018,I051,I022,I003,I046,I006
S00295,7.93,seo;communication;cloud,ST,1,M,I029,I022,I048,I008,I036,I060
S00296,8.91,frontend;sql,OBC,0,M,I048,I036,I037,I057,I044,I015
