student_id,internship_id,pref_rank
S00928,I030,1
S00585,I030,2
S01853,I030,3
S01011,I030,3
S03614,I030,2
S03451,I030,2
S01962,I030,3
S00599,I047,1
S03491,I030,3
S00712,I031,1
S02315,I031,1
S00986,I032,1
S03494,I032,1
S02578,I032,1
S02587,I032,3
S02186,I032,2
S01945,I032,5
S03836,I033,1
S01754,I033,2
S01637,I034,1
S01760,I045,2
S00517,I034,1
S03675,I034,3
S00693,I034,3
S03436,I034,1
S01280,I034,6
S02015,I034,7
S01513,I035,1
S01628,I035,1
S02698,I035,2
S02002,I035,1
S03281,I035,2
S00064,I036,2
S03104,I036,1
S03948,I036,1
S02365,I054,1
S01041,I037,2
S02265,I038,1
S03863,I038,1
S00945,I038,1
S01138,I038,1
S02738,I038,1
S03711,I038,2
S02983,I038,1
S03081,I039,1
S03246,I039,3
S01912,I039,1
S00844,I046,1
S02283,I039,1
S01343,I040,1
S00720,I040,1
S00367,I040,1
S01542,I040,1
S03041,I040,2
S00998,I040,2
S03642,I041,1
S03621,I041,1
S01996,I041,1
S00281,I041,1
S03452,I041,1
S00852,I041,3
S03794,I041,1
S02235,I042,1
S03599,I042,2
S01668,I042,1
S00727,I042,1
S03163,I042,3
S03842,I042,1
S03796,I042,1
S00208,I042,1
S01976,I042,1
S00812,I043,2
S03641,I043,1
S01275,I044,2
S03554,I044,1
S01961,I044,1
S02945,I044,1
S00938,I044,1
S02597,I044,1
S01894,I044,2
S03402,I045,2
S01634,I045,3
S02907,I045,1
S03054,I045,2
S00648,I046,2
S01946,I046,2
S00662,I046,1
S02340,I047,1
S03518,I047,1
S02466,I047,2
S01276,I047,1
S03623,I047,2
S03157,I047,1
S02815,I047,1
S02077,I047,1
S01336,I047,1
S03893,I048,1
S03975,I048,1
S00461,I048,1
S02728,I058,1
S01920,I048,1
S00002,I048,1
S00940,I048,1
S03034,I049,1
S01357,I049,1
S03332,I049,2
S00030,I049,2
S03821,I049,1
S03152,I050,2
S00271,I050,1
S01148,I051,2
S00772,I051,3
S03419,I051,3
S02410,I051,2
S00300,I051,3
S03773,I051,2
S03756,I051,4
S03083,I051,1
S00524,I052,2
S03033,I053,2
S03357,I053,2
S03887,I054,1
S02288,I054,1
S01352,I054,2
S01167,I054,1
S02568,I054,2
S02564,I054,1
S02154,I054,1
S01882,I054,3
S02692,I054,3
S03689,I055,1
S01173,I055,1
S01568,I055,2
S00451,I055,3
S02164,I055,2
S02639,I055,2
S02964,I055,3
S01061,I055,3
S00688,I056,1
S02475,I056,2
S03217,I056,2
S01038,I056,1
S02675,I056,1
S01179,I056,2
S00171,I056,2
S03593,I056,1
S01505,I057,1
S01550,I057,1
S00634,I057,1
S02978,I057,1
S01196,I058,1
S01397,I058,1
S02256,I059,1
S02036,I059,2
S02139,I059,3
S03782,I059,3
S01461,I059,3
S02679,I060,2
S02891,I001,1
S01094,I003,1
S00144,I013,1
S03640,I013,1
S00778,I015,1
S03282,I015,1
S03544,I016,5
S01842,I016,5
S01131,I017,1
S02122,I017,1
S02349,I024,1
S00566,I030,1
S03290,I034,1
S03686,I039,1
S02668,I048,1
S02326,I016,1
