student_id,internship_id,pref_rank
S02491,I013,1
S02692,I013,1
S03007,I013,3
S03493,I013,1
S01276,I047,1
S03901,I013,1
S02219,I013,1
S00479,I013,2
S00058,I013,1
S02983,I013,2
S01730,I013,1
S05384,I013,1
S03072,I013,1
S03872,I013,2
S04460,I013,2
S03523,I013,1
S00297,I014,1
S03861,I037,1
S00471,I014,1
S01995,I036,2
S05071,I014,2
S05250,I014,1
S04473,I014,3
S01977,I014,1
S05790,I014,2
S02911,I014,3
S00817,I014,3
S01439,I014,2
S00268,I014,3
S04298,I014,3
S00701,I014,2
S04154,I042,2
S05386,I014,1
S03015,I014,3
S00016,I014,4
S02470,I014,3
S04559,I062,1
S02270,I014,3
S05661,I014,3
S00391,I015,1
S05703,I015,1
S02248,I015,1
S05364,I015,1
S03603,I015,1
S01712,I015,2
S03282,I015,1
S03957,I060,1
S01256,I015,2
S04871,I015,3
S03446,I015,1
S00622,I015,3
S00806,I015,1
S01965,I015,3
S03945,I015,3
S04975,I068,1
S04502,I063,1
S05797,I011,1
S02659,I015,1
S00460,I015,3
S00024,I015,2
S05679,I015,1
S02285,I015,3
S01970,I016,1
S00627,I016,2
S00341,I016,4
S01842,I016,5
S02243,I016,7
S03584,I060,2
S03328,I028,1
S02340,I047,1
S05280,I016,7
S05486,I016,7
S02084,I016,7
S04747,I039,3
S05660,I016,7
S01220,I017,2
S00111,I016,7
S02499,I044,1
S04532,I061,1
S05212,I016,7
S00975,I017,1
S05505,I017,1
S05108,I017,1
S00666,I017,1
S02262,I058,1
S05433,I017,2
S03403,I017,3
S02203,I017,2
S01568,I036,1
S04210,I017,4
S01522,I017,2
S03599,I017,4
S05029,I017,2
S02859,I017,4
S01658,I017,3
S00022,I017,2
S00623,I017,1
S01203,I025,1
S01818,I018,1
S00788,I018,1
S02112,I018,1
S05119,I018,1
S05769,I018,1
S05473,I018,2
S01419,I018,2
S00875,I018,2
S01344,I018,2
S00097,I018,2
S00294,I018,1
S05944,I018,1
S05783,I018,1
S03229,I018,2
S05065,I053,1
S05231,I018,1
S02116,I047,1
S02364,I018,2
S04869,I018,2
S02233,I019,2
S03201,I019,2
S02747,I019,1
S01487,I019,2
S01784,I019,1
S03465,I019,1
S00486,I019,4
S01551,I019,1
S04354,I062,1
S00423,I019,1
S04179,I067,1
S00879,I059,3
S03711,I019,7
S02235,I042,1
S02625,I033,2
S02560,I044,3
S02209,I013,1
S00126,I004,1
S00965,I060,1
S00326,I043,1
S02344,I020,1
S04609,I020,4
S05209,I068,2
S03674,I020,1
S01919,I020,3
S03634,I020,3
S04689,I020,3
S01133,I020,2
S02841,I020,4
S01584,I020,4
S03388,I020,2
S02088,I034,1
S05816,I042,3
S04733,I020,4
S02624,I020,5
S05568,I020,5
S05341,I020,3
S02463,I021,1
S02606,I021,1
S02407,I021,1
S01201,I021,2
S00715,I021,1
S05650,I021,2
S02529,I021,1
S02321,I021,1
S01328,I025,1
S00794,I021,3
S00370,I049,1
S03038,I035,1
S02331,I021,4
S03340,I021,5
S04027,I021,4
S00562,I021,6
S00592,I036,3
S05657,I057,1
S05522,I021,7
S02048,I054,2
S02555,I022,1
S03838,I022,1
S04096,I022,3
S00176,I022,1
S02057,I022,1
S01255,I022,2
S01291,I022,1
S05379,I022,2
S03248,I022,1
S00918,I022,1
S05418,I022,1
S01671,I022,1
S05914,I022,2
S04452,I022,4
S03618,I022,1
S03233,I022,3
S05730,I022,1
S03815,I012,1
S03539,I022,5
S00860,I012,1
S01505,I022,5
S02238,I022,4
S04962,I063,1
S02974,I023,2
S05886,I015,1
S04673,I023,2
S03252,I023,2
S00724,I023,1
S00388,I057,1
S05376,I023,2
S02738,I023,3
S02005,I023,2
S05217,I023,2
S01881,I023,3
S05273,I023,2
S01248,I023,4
S00889,I023,2
S02010,I023,3
S00299,I023,2
S01217,I023,2
S05575,I054,1
S00204,I023,4
S04482,I023,4
S03195,I023,2
S05879,I023,4
S05380,I044,1
S03058,I023,5
S00699,I024,1
S03187,I024,1
S03182,I024,1
S01945,I024,1
S01876,I024,1
S04081,I024,2
S04668,I024,2
S01242,I024,5
S03014,I024,1
S02979,I024,4
S05060,I024,5
S03034,I024,7
S03526,I024,7
S00267,I057,1
S04636,I024,7
S04230,I024,7
S05274,I024,7
S02583,I024,7
S01819,I024,7
S03743,I059,1
S02273,I024,7
S01139,I024,7
S03404,I057,2
S01184,I024,6
S02958,I024,7
S01123,I025,3
S01436,I025,1
S01710,I036,1
S00447,I025,1
S04257,I025,2
S00448,I025,2
S00702,I025,4
S01378,I025,4
S01026,I037,2
S04238,I025,4
S01497,I025,4
S05506,I025,4
S05339,I025,4
S02126,I025,5
S03455,I025,1
S05980,I025,3
S02708,I025,1
S00349,I025,5
S00730,I043,3
S03652,I026,1
S02429,I026,2
S03292,I026,1
S01626,I026,1
S01916,I026,4
S01420,I026,2
S05223,I026,4
S04095,I050,2
S05692,I026,7
S02346,I026,7
S00253,I026,7
S02978,I057,1
S01409,I026,7
S01357,I049,1
S02639,I026,7
S04162,I026,7
S01041,I035,1
S05782,I026,7
S05587,I026,7
S03176,I026,7
S03697,I026,7
S02531,I005,1
S00115,I049,1
S02069,I026,7
S04290,I026,4
S04687,I027,2
S00031,I027,1
S03462,I027,2
S04046,I061,1
S02313,I027,3
S01177,I027,1
S03707,I027,1
S02049,I027,3
S01338,I027,4
S05892,I027,4
S02128,I027,5
S05038,I027,2
S05673,I027,2
S01861,I027,3
S02334,I027,2
S00760,I027,4
S03843,I027,5
S03680,I027,6
S00363,I027,7
S02824,I042,1
S05774,I027,7
S02834,I027,7
S01230,I027,7
S01917,I005,1
S04796,I027,5
S00499,I028,1
S05350,I028,1
S01076,I028,1
S02704,I028,1
S03920,I028,1
S02847,I028,1
S04966,I062,1
S03552,I028,1
S03710,I028,1
S01566,I028,1
S02296,I028,1
S03367,I028,1
S01575,I028,1
S00401,I028,2
S02015,I031,4
S05019,I028,2
S01739,I028,3
S05868,I028,4
S04680,I028,3
S00410,I029,1
S00568,I029,2
S04086,I029,3
S03413,I029,1
S02579,I029,1
S02489,I029,3
S00255,I029,1
S00186,I029,2
S05106,I029,3
S01308,I029,3
S02152,I029,1
S02464,I043,1
S00846,I029,1
S05171,I029,1
S00769,I029,4
S01738,I029,4
S05804,I030,1
S01826,I030,1
S02384,I030,2
S04022,I030,2
S01280,I030,2
S00854,I030,1
S05856,I030,2
S03557,I030,3
S01464,I030,1
S02942,I030,2
S05559,I068,2
S01167,I030,3
S03530,I056,1
S05219,I030,1
S04161,I030,3
S04605,I030,3
S01265,I030,2
S04613,I066,2
S03352,I030,4
S02951,I030,2
S02358,I031,1
S04585,I064,1
S01138,I038,1
S00523,I031,1
S02292,I031,1
S01350,I031,1
S04672,I065,1
S05601,I031,3
S03268,I031,4
S01886,I031,2
S02246,I031,3
S05786,I038,1
S00069,I031,1
S05287,I031,3
S00780,I031,3
S04013,I067,1
S03709,I042,3
S00101,I031,4
S00908,I032,1
S00514,I032,1
S05174,I032,1
S03169,I032,1
S02770,I032,1
S02587,I032,3
S04957,I032,2
S03900,I032,1
S04935,I032,5
S04325,I063,6
S05152,I032,7
S04996,I032,7
S01433,I032,4
S04445,I032,7
S03428,I019,1
S03207,I041,2
S04616,I032,7
S00563,I032,7
S00646,I032,7
S05439,I032,7
S01511,I031,1
S03322,I032,7
S03868,I033,1
S01737,I033,1
S02641,I033,1
S04958,I033,3
S03934,I033,1
S01107,I033,2
S02304,I033,1
S02914,I033,7
S04197,I033,7
S03873,I033,7
S05329,I014,1
S03061,I033,7
S00575,I033,7
S04867,I033,7
S04182,I033,7
S01440,I033,7
S02592,I033,7
S03232,I033,7
S02572,I033,7
S00578,I033,7
S00324,I052,2
S03290,I034,1
S05930,I034,1
S01967,I034,1
S03155,I034,1
S03236,I034,1
S02287,I034,1
S01374,I034,2
S01654,I034,1
S00368,I020,1
S02369,I049,3
S04472,I034,4
S02185,I034,7
S02891,I034,7
S01391,I034,7
S01603,I045,2
S02071,I034,7
S02183,I034,7
S03611,I043,1
S04109,I034,7
S05492,I048,1
S01513,I035,1
S02428,I035,1
S02698,I035,2
S05751,I035,2
S03501,I035,3
S01392,I009,1
S00252,I035,2
S05176,I035,1
S05743,I045,2
S04830,I035,2
S00612,I035,4
S03181,I035,4
S03543,I035,6
S02691,I035,3
S04652,I061,4
S03379,I035,6
S01946,I036,1
S02410,I036,1
S02957,I036,3
S01642,I036,2
S05324,I036,1
S05694,I055,1
S02317,I036,2
S03301,I036,2
S03281,I036,3
S05216,I036,1
S01180,I036,2
S03280,I036,3
S00896,I036,2
S02969,I036,1
S05630,I037,1
S04045,I037,2
S01428,I047,1
S04121,I037,3
S05596,I037,3
S04374,I037,2
S05218,I037,2
S03804,I037,1
S03663,I037,3
S02892,I037,3
S04171,I037,2
S04093,I037,3
S04811,I037,4
S05738,I037,1
S02681,I037,3
S00686,I037,3
S02004,I037,2
S01025,I037,4
S01515,I038,1
S05894,I038,2
S05328,I038,1
S00567,I038,1
S01939,I038,1
S01884,I038,2
S02706,I038,1
S04282,I069,1
S04052,I038,2
S02462,I038,2
S03667,I038,2
S01675,I038,3
S01991,I038,3
S04943,I066,1
S04384,I038,3
S03800,I039,1
S03246,I039,3
S02261,I039,1
S05460,I039,1
S02283,I039,1
S03550,I039,1
S04885,I039,2
S02205,I039,2
S03631,I039,3
S05402,I039,3
S00782,I039,1
S02454,I039,1
S05640,I039,2
S03477,I039,1
S03863,I039,3
S03877,I039,1
S04524,I039,3
S01343,I040,1
S00093,I040,1
S01456,I040,2
S04294,I040,2
S01636,I040,2
S00367,I040,1
S02258,I040,2
S01790,I040,2
S01462,I040,2
S04923,I040,2
S03725,I040,1
S00411,I040,1
S01195,I040,4
S04216,I040,5
S03798,I040,5
S04619,I067,4
S00151,I040,1
S01010,I048,3
S01458,I040,4
S05185,I040,5
S05570,I040,2
S05808,I040,5
S05403,I046,4
S00756,I041,1
S00281,I041,1
S03300,I041,1
S00745,I041,1
S01313,I041,1
S01783,I041,1
S02241,I041,1
S04404,I041,3
S01035,I041,2
S02114,I041,4
S01878,I041,2
S04459,I068,1
S02399,I041,3
S00443,I041,1
S00238,I041,2
S01684,I041,4
S03554,I044,1
S03145,I041,4
S00994,I042,1
S04861,I065,1
S05717,I042,1
S03899,I042,1
S03200,I042,1
S01720,I042,1
S04922,I042,3
S01079,I042,2
S01417,I042,2
S03889,I042,3
S05851,I042,3
S02342,I042,2
S05509,I042,2
S05277,I043,1
S03897,I043,2
S00861,I043,2
S01278,I043,1
S00656,I043,1
S01327,I043,1
S05279,I043,2
S03785,I043,2
S03208,I043,2
S00291,I043,2
S02460,I008,1
S00135,I043,2
S00591,I043,3
S05846,I043,1
S01353,I047,2
S00078,I043,1
S01837,I043,1
S05984,I043,1
S04188,I067,1
S01275,I044,2
S01576,I044,1
S01036,I034,1
S04516,I044,2
S02502,I044,3
S03931,I044,1
S01981,I044,1
S02672,I044,1
S01704,I044,3
S04222,I044,2
S05967,I044,3
S02398,I054,1
S05394,I044,3
S00677,I045,1
S02305,I045,1
S03054,I045,2
S04202,I062,1
S00193,I045,1
S00348,I045,1
S02174,I045,1
S05441,I045,3
S01068,I045,3
S05201,I045,2
S01003,I045,2
S01629,I045,1
S03152,I050,2
S02319,I045,4
S04682,I045,4
S04107,I045,3
S00585,I030,2
S05169,I046,1
S00844,I046,1
S02778,I046,1
S04865,I046,2
S05885,I046,2
S02453,I046,2
S00621,I046,2
S03891,I003,1
S03661,I046,3
S03967,I046,1
S01272,I046,2
S02754,I046,3
S01124,I048,2
S01047,I046,4
S02867,I046,2
S04929,I061,1
S00793,I046,3
S05642,I014,1
S05374,I046,5
S03518,I047,1
S03127,I047,3
S04826,I047,2
S02374,I047,1
S02648,I047,2
S04044,I047,2
S01788,I047,1
S05451,I047,1
S02785,I047,5
S01666,I047,2
S00775,I047,4
S01045,I047,1
S05162,I002,1
S05528,I028,1
S04834,I047,7
S01581,I002,1
S05432,I047,2
S03893,I048,1
S00396,I016,2
S01001,I047,3
S00820,I047,7
S04695,I048,3
S00461,I048,1
S01871,I048,2
S03972,I048,2
S05068,I048,1
S01465,I048,1
S03110,I048,1
S01920,I048,1
S01507,I048,1
S02878,I048,1
S05476,I048,3
S01232,I060,1
S05993,I048,3
S05381,I055,3
S03278,I048,3
S01156,I056,1
S03482,I049,1
S00494,I049,1
S05497,I049,1
S04131,I049,3
S03627,I049,3
S01804,I049,1
S01418,I049,1
S00039,I001,1
S00379,I049,2
S01588,I049,2
S02045,I049,2
S00035,I049,1
S03459,I049,1
S05766,I050,2
S02046,I050,2
S05186,I050,2
S01407,I050,2
S02737,I050,1
S01490,I050,3
S00688,I056,1
S00108,I050,3
S04336,I062,1
S02875,I050,1
S01460,I050,1
S05268,I050,1
S04658,I064,1
S03544,I050,1
S05629,I050,1
S04820,I050,3
S05278,I050,4
S04155,I050,2
S00976,I050,1
S00092,I050,2
S03010,I050,2
S02945,I057,2
S05230,I051,1
S05621,I023,1
S05348,I051,1
S05727,I051,1
S05988,I051,1
S02905,I051,1
S03491,I051,2
S05785,I051,1
S00772,I051,3
S00060,I051,3
S00851,I051,1
S04941,I065,1
S04730,I051,3
S03083,I051,1
S03540,I051,1
S05581,I051,2
S02872,I051,1
S00213,I051,2
S04080,I051,3
S05812,I051,1
S05671,I052,1
S00524,I051,1
S05999,I052,1
S05027,I052,1
S05249,I052,2
S00620,I052,1
S00236,I052,2
S05686,I052,1
S03475,I052,1
S02964,I052,2
S03299,I052,1
S00593,I052,2
S01052,I052,1
S02370,I052,2
S02755,I052,1
S01225,I052,2
S05608,I052,2
S01143,I052,2
S05863,I053,1
S05994,I053,1
S00910,I053,2
S03365,I053,1
S00420,I053,1
S03986,I053,2
S05521,I053,2
S05154,I053,3
S00840,I053,2
S05073,I053,3
S01617,I053,2
S04581,I053,2
S03294,I053,2
S04457,I053,3
S05502,I053,1
S00792,I053,4
S04886,I032,2
S00306,I053,4
S03735,I053,3
S05055,I053,4
S03887,I054,1
S00983,I054,1
S02288,I054,1
S05457,I054,1
S02965,I054,2
S04363,I054,2
S05378,I054,1
S00330,I054,2
S00392,I054,3
S00502,I054,1
S04228,I054,3
S00850,I054,2
S03593,I056,1
S00823,I054,1
S05891,I055,1
S01249,I054,3
S00480,I054,2
S04692,I062,1
S01173,I055,1
S05025,I055,1
S00451,I055,3
S02915,I055,3
S00319,I055,1
S05941,I055,1
S04170,I055,2
S00796,I055,2
S05558,I055,2
S00887,I055,2
S02573,I055,1
S04990,I055,3
S04369,I055,2
S02613,I055,1
S05689,I056,1
S05896,I056,1
S05343,I056,1
S01038,I056,1
S05513,I056,1
S03217,I055,1
S03829,I056,1
S00376,I056,2
S05299,I056,1
S05935,I056,1
S05321,I056,2
S02301,I056,2
S05307,I056,2
S01969,I056,2
S03238,I056,2
S02966,I056,1
S01668,I056,3
S00583,I057,1
S03254,I057,2
S00931,I057,1
S05081,I057,1
S00634,I057,1
S00019,I057,1
S03654,I057,2
S05313,I057,1
S05228,I057,2
S04385,I035,2
S03729,I057,2
S02908,I057,2
S04726,I057,2
S05443,I057,2
S01898,I057,3
S05977,I058,1
S00429,I057,1
S00657,I057,3
S05428,I058,1
S04002,I066,1
S04555,I058,2
S03646,I058,2
S05654,I058,1
S00945,I058,2
S03298,I058,1
S00356,I058,2
S01095,I058,1
S05214,I058,1
S03816,I058,2
S00496,I058,2
S04245,I058,2
S03783,I058,3
S00030,I002,1
S03264,I058,2
S05515,I058,2
S02284,I059,1
S02086,I059,2
S01168,I059,1
S02451,I059,1
S05563,I059,2
S05431,I059,4
S04231,I061,2
S02218,I059,5
S02133,I059,1
S04058,I064,1
S00643,I059,7
S00455,I059,7
S00552,I059,7
S05468,I005,1
S02792,I059,7
S01580,I059,7
S01149,I059,7
S04175,I059,7
S00651,I060,1
S03240,I060,1
S00185,I060,1
S00596,I060,1
S05857,I008,1
S04223,I060,2
S05659,I060,2
S02375,I060,1
S01134,I060,2
S03784,I060,7
S01852,I060,5
S05440,I065,1
S00986,I060,7
S02775,I014,2
S01333,I060,7
S05097,I060,7
S01362,I060,7
S01399,I060,7
S03548,I060,7
S03070,I060,7
S01798,I060,7
S01503,I060,7
S01599,I060,7
S04982,I061,1
S04774,I061,1
S04034,I061,1
S04441,I061,1
S04599,I061,1
S05355,I061,4
S05939,I061,1
S04583,I061,1
S05283,I045,1
S04435,I061,1
S04544,I061,4
S03751,I061,7
S01984,I061,7
S04517,I061,7
S05611,I061,7
S04992,I065,1
S05114,I061,7
S05837,I062,1
S04279,I062,1
S04553,I062,1
S04518,I062,1
S04742,I062,1
S04465,I062,1
S05262,I062,1
S04720,I062,2
S04862,I062,2
S04252,I063,2
S04795,I063,2
S05362,I063,3
S04431,I063,1
S04261,I063,1
S04194,I063,3
S05970,I063,5
S05878,I063,7
S03376,I063,7
S02327,I063,7
S00073,I063,7
S01228,I063,7
S00285,I063,7
S03013,I063,7
S03163,I063,7
S02944,I063,7
S04098,I064,1
S04755,I064,2
S04226,I064,3
S05951,I064,2
S04069,I064,1
S04833,I064,1
S05371,I064,4
S05078,I064,4
S04994,I064,5
S05395,I064,4
S04054,I064,1
S05158,I064,5
S04395,I064,1
S05014,I064,5
S04296,I064,7
S03600,I064,7
S02392,I064,7
S03026,I064,7
S01260,I064,7
S03350,I064,7
S03407,I043,1
S04560,I064,7
S04317,I065,1
S04509,I065,1
S04136,I065,1
S04466,I065,3
S04160,I065,1
S05245,I065,3
S05411,I065,3
S04130,I065,1
S05813,I065,1
S04669,I065,3
S04295,I065,4
S04078,I065,4
S04206,I065,1
S05072,I045,1
S04353,I066,1
S04988,I066,1
S04890,I066,1
S04698,I066,1
S04681,I066,1
S04777,I066,1
S05877,I066,1
S04056,I066,1
S04810,I066,1
S04373,I066,1
S04042,I066,1
S04066,I066,1
S04250,I066,2
S04848,I066,1
S04218,I066,1
S04788,I066,5
S04948,I066,4
S04453,I067,1
S04927,I067,1
S04896,I067,1
S04800,I067,1
S05208,I067,1
S05518,I054,1
S05483,I067,1
S05597,I067,3
S04675,I067,1
S05908,I067,3
S04436,I067,3
S04063,I067,1
S03894,I067,7
S00315,I067,7
S02637,I067,7
S05030,I067,7
S00203,I067,7
S04806,I067,7
S04043,I067,7
S02066,I067,7
S05632,I068,1
S05525,I068,2
S04235,I068,1
S04797,I068,1
S04864,I068,1
S04302,I068,1
S05409,I057,1
S04937,I068,1
S04527,I068,3
S04946,I068,3
S05007,I068,4
S04846,I068,3
S04590,I068,1
S05745,I068,2
S04057,I069,1
S04764,I069,1
S04704,I069,1
S04166,I069,1
S05129,I069,2
S04959,I069,2
S04707,I069,1
S05181,I069,2
S04036,I069,4
S05261,I054,2
S05363,I017,1
S04305,I069,1
S05732,I069,2
S05729,I069,5
S01867,I015,1
S05829,I069,5
S00999,I069,7
S03809,I069,7
S03847,I001,1
S00530,I001,2
S05869,I002,2
S02554,I002,2
S05746,I003,1
S02530,I003,1
S01145,I003,2
S00421,I004,2
S04552,I004,3
S01533,I004,1
S01794,I047,1
S04507,I004,3
S01719,I004,1
S01073,I005,1
S00325,I005,5
S01059,I005,5
S00197,I007,1
S01257,I007,2
S01980,I007,4
S00812,I007,7
S03781,I007,7
S05124,I007,7
S00624,I008,1
S00313,I008,1
S00733,I009,1
S03189,I014,2
S05793,I014,1
S03255,I016,2
S05764,I016,2
S02877,I016,2
S02647,I016,4
S01065,I017,1
S01320,I018,2
S03080,I018,3
S00685,I019,1
S03416,I019,1
S02837,I019,1
S03685,I019,3
S00412,I020,1
S05789,I020,1
S00867,I020,3
S03364,I021,1
S02557,I021,3
S02679,I021,4
S00175,I021,3
S01092,I021,7
S01110,I021,7
S02400,I022,1
S00526,I022,2
S03073,I022,1
S02688,I031,1
S02250,I024,1
S05037,I024,3
S05076,I025,1
S00179,I026,2
S02379,I026,4
S00014,I026,5
S04444,I026,7
S00488,I026,7
S00720,I026,7
S05950,I027,1
S00300,I027,2
S02385,I029,1
S05002,I030,1
S05004,I030,3
S05862,I030,2
S00712,I031,1
S01909,I031,1
S04033,I031,2
S03330,I031,1
S05147,I031,1
S00543,I032,1
S01128,I032,1
S01176,I032,3
S00546,I033,1
S01226,I033,2
S05551,I034,3
S02757,I034,1
S00752,I034,3
S01389,I034,2
S05412,I035,1
S03104,I036,1
S05133,I036,1
S02365,I037,2
S02506,I037,2
S02521,I038,1
S03648,I040,1
S03503,I040,1
S00042,I040,1
S05036,I040,1
S03452,I041,1
S00852,I041,3
S00560,I041,1
S03764,I043,1
S00915,I044,2
S03598,I044,1
S04909,I046,2
S05082,I046,1
S05184,I046,1
S00138,I047,1
S02707,I047,1
S03975,I048,1
S05682,I048,1
S02568,I049,1
S00468,I049,2
S05421,I050,1
S03258,I050,2
S05337,I050,1
S05488,I051,2
S05653,I052,1
S04361,I053,2
S01352,I054,2
S03716,I055,2
S01450,I057,2
S03571,I057,2
S02617,I058,1
S02075,I059,2
S04060,I064,1
S04891,I067,1
S04566,I068,1
S04651,I069,1
S04262,I069,1
S04855,I069,1
S03206,I001,2
S03131,I002,1
S00784,I004,1
S01897,I005,1
S04397,I005,3
S05050,I007,1
S01545,I010,1
S00774,I011,1
S05739,I012,1
S03672,I013,1
S00778,I015,1
S01745,I016,1
S01022,I018,1
S03902,I019,1
S01678,I019,1
S05198,I023,1
S03423,I023,1
S04984,I023,2
S02762,I035,1
S03561,I045,1
S01023,I047,1
S00250,I002,1
S03759,I007,1
S03259,I046,2
S02337,I059,2
S01929,I019,2
